"Playlist.Name","Track.Name"
"90’s Music","Parallel Universe"
"90’s Music","Scar Tissue"
"90’s Music","Otherside"
"90’s Music","Get On Top"
"90’s Music","Californication"
"90’s Music","Easily"
"90’s Music","Porcelain"
"90’s Music","Emit Remmus"
"90’s Music","I Like Dirt"
"90’s Music","This Velvet Glove"
"90’s Music","Savior"
"90’s Music","Purple Stain"
"90’s Music","Right On Time"
"90’s Music","Road Trippin’"
"90’s Music","Intro"
"90’s Music","You Got Me Rocking"
"90’s Music","Gimmie Shelters"
"90’s Music","Flip The Switch"
"90’s Music","Memory Motel"
"90’s Music","Corinna"
"90’s Music","Saint Of Me"
"90’s Music","Wainting On A Friend"
"90’s Music","Sister Morphine"
"90’s Music","Live With Me"
"90’s Music","Respectable"
"90’s Music","Thief In The Night"
"90’s Music","The Last Time"
"90’s Music","Out Of Control"
"90’s Music","Love Is Strong"
"90’s Music","Sparks Will Fly"
"90’s Music","The Worst"
"90’s Music","New Faces"
"90’s Music","Moon Is Up"
"90’s Music","Out Of Tears"
"90’s Music","I Go Wild"
"90’s Music","Brand New Car"
"90’s Music","Sweethearts Together"
"90’s Music","Suck On The Jugular"
"90’s Music","Blinded By Rainbows"
"90’s Music","Baby Break It Down"
"90’s Music","Thru And Thru"
"90’s Music","Mean Disposition"
"90’s Music","Pride (In The Name Of Love)"
"90’s Music","New Year’s Day"
"90’s Music","With Or Without You"
"90’s Music","I Still Haven’t Found What I’m Looking For"
"90’s Music","Sunday Bloody Sunday"
"90’s Music","Bad"
"90’s Music","Where The Streets Have No Name"
"90’s Music","I Will Follow"
"90’s Music","The Unforgettable Fire"
"90’s Music","Sweetest Thing"
"90’s Music","Desire"
"90’s Music","When Love Comes To Town"
"90’s Music","Angel Of Harlem"
"90’s Music","All I Want Is You"
"90’s Music","Zooropa"
"90’s Music","Babyface"
"90’s Music","Numb"
"90’s Music","Lemon"
"90’s Music","Stay (Faraway, So Close!)"
"90’s Music","Daddy’s Gonna Pay For Your Crashed Car"
"90’s Music","Some Days Are Better Than Others"
"90’s Music","The First Time"
"90’s Music","Dirty Day"
"90’s Music","The Wanderer"
"My Music","In Your Honor"
"My Music","No Way Back"
"My Music","Best Of You"
"My Music","DOA"
"My Music","Hell"
"My Music","The Last Song"
"My Music","Free Me"
"My Music","Resolve"
"My Music","The Deepest Blues Are Black"
"My Music","End Over End"
"My Music","Still"
"My Music","What If I Do?"
"My Music","Miracle"
"My Music","Another Round"
"My Music","Friend Of A Friend"
"My Music","Over And Out"
"My Music","On The Mend"
"My Music","Virginia Moon"
"My Music","Cold Day In The Sun"
"My Music","Razor"
"My Music","Carnival Of Sorts"
"My Music","Radio Free Aurope"
"My Music","Perfect Circle"
"My Music","Talk About The Passion"
"My Music","So Central Rain"
"My Music","Don’t Go Back To Rockville"
"My Music","Pretty Persuasion"
"My Music","Green Grow The Rushes"
"My Music","Can’t Get There From Here"
"My Music","Driver 8"
"My Music","Fall On Me"
"My Music","I Believe"
"My Music","Cuyahoga"
"My Music","The One I Love"
"My Music","The Finest Worksong"
"My Music","It’s The End Of The World As We Know It (And I Feel Fine)"
"My Music","The Power Of Equality"
"My Music","If You Have To Ask"
"My Music","Breaking The Girl"
"My Music","Funky Monks"
"My Music","Suck My Kiss"
"My Music","I Could Have Lied"
"My Music","Mellowship Slinky In B Major"
"My Music","The Righteous & The Wicked"
"My Music","Give It Away"
"My Music","Blood Sugar Sex Magik"
"My Music","Under The Bridge"
"My Music","Naked In The Rain"
"My Music","Apache Rose Peacock"
"My Music","The Greeting Song"
"My Music","My Lovely Man"
"My Music","Sir Psycho Sexy"
"My Music","They’re Red Hot"
"My Music","By The Way"
"My Music","Universally Speaking"
"My Music","This Is The Place"
"My Music","Dosed"
"My Music","Don’t Forget Me"
"My Music","The Zephyr Song"
"My Music","Can’t Stop"
"My Music","I Could Die For You"
"My Music","Midnight"
"My Music","Throw Away Your Television"
"My Music","Cabron"
"My Music","Tear"
"My Music","On Mercury"
"My Music","Minor Thing"
"My Music","Warm Tape"
"My Music","Venice Queen"
"My Music","Around The World"
"My Music","Parallel Universe"
"My Music","Scar Tissue"
"My Music","Otherside"
"My Music","Get On Top"
"My Music","Californication"
"My Music","Easily"
"My Music","Porcelain"
"My Music","Emit Remmus"
"My Music","I Like Dirt"
"My Music","This Velvet Glove"
"My Music","Savior"
"My Music","Purple Stain"
"My Music","Right On Time"
"My Music","Road Trippin’"
"My Music","Intro"
"My Music","You Got Me Rocking"
"My Music","Gimmie Shelters"
"My Music","Flip The Switch"
"My Music","Memory Motel"
"My Music","Corinna"
"My Music","Saint Of Me"
"My Music","Wainting On A Friend"
"My Music","Sister Morphine"
"My Music","Live With Me"
"My Music","Respectable"
"My Music","Thief In The Night"
"My Music","The Last Time"
"My Music","Out Of Control"
"My Music","Love Is Strong"
"My Music","Sparks Will Fly"
"My Music","The Worst"
"My Music","New Faces"
"My Music","Moon Is Up"
"My Music","Out Of Tears"
"My Music","I Go Wild"
"My Music","Brand New Car"
"My Music","Sweethearts Together"
"My Music","Suck On The Jugular"
"My Music","Blinded By Rainbows"
"My Music","Baby Break It Down"
"My Music","Thru And Thru"
"My Music","Mean Disposition"
"My Music","Pride (In The Name Of Love)"
"My Music","New Year’s Day"
"My Music","With Or Without You"
"My Music","I Still Haven’t Found What I’m Looking For"
"My Music","Sunday Bloody Sunday"
"My Music","Bad"
"My Music","Where The Streets Have No Name"
"My Music","I Will Follow"
"My Music","The Unforgettable Fire"
"My Music","Sweetest Thing"
"My Music","Desire"
"My Music","When Love Comes To Town"
"My Music","Angel Of Harlem"
"My Music","All I Want Is You"
"My Music","Seconds"
"My Music","Like A Song..."
"My Music","Drowning Man"
"My Music","The Refugee"
"My Music","Two Hearts Beat As One"
"My Music","Red Light"
"My Music","Surrender"
"My Music","40"
"My Music","Zooropa"
"My Music","Babyface"
"My Music","Numb"
"My Music","Lemon"
"My Music","Stay (Faraway, So Close!)"
"My Music","Daddy’s Gonna Pay For Your Crashed Car"
"My Music","Some Days Are Better Than Others"
"My Music","The First Time"
"My Music","Dirty Day"
"My Music","The Wanderer"

372 tuple
